date,exercise_minutes
7/4/2021,24
7/5/2021,30
7/6/2021,44
7/7/2021,24
7/8/2021,15
7/9/2021,24
7/10/2021,51
7/11/2021,77
7/12/2021,12
7/13/2021,25
7/14/2021,31
7/15/2021,25
7/16/2021,24
7/17/2021,61
7/18/2021,33
7/19/2021,33
7/20/2021,14
7/21/2021,19
7/22/2021,27
7/23/2021,28
7/24/2021,17
7/25/2021,16
7/26/2021,14
7/27/2021,25
7/28/2021,23
7/29/2021,23
7/30/2021,101
7/31/2021,30
8/1/2021,63
8/2/2021,39
8/3/2021,49
8/4/2021,27
8/5/2021,39
8/6/2021,19
8/7/2021,22
8/8/2021,49
8/9/2021,14
8/10/2021,27
8/11/2021,19
8/12/2021,26
8/13/2021,13
8/14/2021,16
8/15/2021,20
8/16/2021,68
8/17/2021,32
8/18/2021,23
8/19/2021,17
8/20/2021,43
8/21/2021,83
8/22/2021,0
8/23/2021,12
8/24/2021,18
8/25/2021,15
8/26/2021,17
8/27/2021,18
8/28/2021,12
8/29/2021,9
8/30/2021,13
8/31/2021,44
9/1/2021,98
9/2/2021,38
9/3/2021,45
9/4/2021,37
9/5/2021,64
9/6/2021,36
9/7/2021,12
9/8/2021,25
9/9/2021,11
9/10/2021,55
9/11/2021,18
9/12/2021,16
9/13/2021,10
9/14/2021,17
9/15/2021,12
9/16/2021,34
9/17/2021,68
9/18/2021,57
9/19/2021,34
9/20/2021,40
9/21/2021,15
9/22/2021,51
9/23/2021,17
9/24/2021,42
9/25/2021,19
9/26/2021,53
9/27/2021,17
9/28/2021,35
9/29/2021,54
9/30/2021,42
10/1/2021,66
10/2/2021,49
10/3/2021,62
10/4/2021,15
10/5/2021,12
10/6/2021,30
10/7/2021,16
10/8/2021,16
10/9/2021,12
10/10/2021,20
10/11/2021,16
10/12/2021,19
10/13/2021,16
10/14/2021,16
10/15/2021,16
10/16/2021,10
10/17/2021,10
10/18/2021,49
10/19/2021,13
10/20/2021,11
10/21/2021,8
10/22/2021,100
10/23/2021,39
10/24/2021,15
10/25/2021,17
10/26/2021,27
10/27/2021,12
10/28/2021,18
10/29/2021,18
10/30/2021,37
10/31/2021,22
11/1/2021,15
11/2/2021,17
11/3/2021,19
11/4/2021,15
11/5/2021,14
11/6/2021,45
11/7/2021,10
11/8/2021,11
11/9/2021,15
11/10/2021,30
11/11/2021,14
11/12/2021,19
11/13/2021,13
11/14/2021,14
11/15/2021,23
11/16/2021,23
11/17/2021,18
11/18/2021,28
11/19/2021,16
11/20/2021,18
11/21/2021,13
11/22/2021,23
11/23/2021,21
11/24/2021,24
11/25/2021,18
11/26/2021,13
11/27/2021,38
11/28/2021,27
11/29/2021,14
11/30/2021,25
12/1/2021,31
12/2/2021,19
12/3/2021,20
12/4/2021,17
12/5/2021,13
12/6/2021,31
12/7/2021,22
12/8/2021,16
12/9/2021,20
12/10/2021,20
12/11/2021,14
12/12/2021,35
12/13/2021,19
12/14/2021,23
12/15/2021,14
12/16/2021,18
12/17/2021,21
12/18/2021,19
12/19/2021,15
12/20/2021,21
12/21/2021,18
12/22/2021,25
12/23/2021,30
12/24/2021,15
12/25/2021,10
12/26/2021,28
12/27/2021,37
12/28/2021,47
12/29/2021,15
12/30/2021,11
12/31/2021,25
1/1/2022,32
1/2/2022,39
1/3/2022,19
1/4/2022,17
1/5/2022,10
1/6/2022,31
1/7/2022,12
1/8/2022,13
1/9/2022,12
1/10/2022,6
1/11/2022,17
1/12/2022,15
1/13/2022,13
1/14/2022,14
1/15/2022,9
1/16/2022,12
1/17/2022,19
1/18/2022,15
1/19/2022,12
1/20/2022,17
1/21/2022,13
1/22/2022,17
1/23/2022,45
1/24/2022,41
1/25/2022,14
1/26/2022,15
1/27/2022,8
1/28/2022,16
1/29/2022,18
1/30/2022,13
1/31/2022,18
2/1/2022,34
2/2/2022,9
2/3/2022,18
2/4/2022,18
2/5/2022,15
2/6/2022,15
2/7/2022,17
2/8/2022,17
2/9/2022,28
2/10/2022,17
2/11/2022,13
2/12/2022,9
2/13/2022,14
2/14/2022,15
2/15/2022,15
2/16/2022,49
2/17/2022,26
2/18/2022,18
2/19/2022,10
2/20/2022,22
2/21/2022,21
2/22/2022,9
2/23/2022,43
2/24/2022,16
2/25/2022,46
2/26/2022,27
2/27/2022,12
2/28/2022,18
3/1/2022,11
3/2/2022,91
3/3/2022,15
3/4/2022,45
3/5/2022,15
3/6/2022,18
3/7/2022,41
3/8/2022,24
3/9/2022,12
3/10/2022,20
3/11/2022,8
3/12/2022,17
3/13/2022,32
3/14/2022,17
3/15/2022,21
3/16/2022,42
3/17/2022,18
3/18/2022,20
3/19/2022,15
3/20/2022,15
3/21/2022,16
3/22/2022,14
3/23/2022,20
3/24/2022,16
3/25/2022,43
3/26/2022,14
3/27/2022,11
3/28/2022,18
3/29/2022,25
3/30/2022,21
3/31/2022,15
4/1/2022,12
4/2/2022,18
4/3/2022,15
4/4/2022,24
4/5/2022,25
4/6/2022,27
4/7/2022,14
4/8/2022,13
4/9/2022,33
4/10/2022,21
4/11/2022,60
4/12/2022,17
4/13/2022,16
4/14/2022,29
4/15/2022,18
4/16/2022,19
4/17/2022,12
4/18/2022,20
4/19/2022,26
4/20/2022,12
4/21/2022,44
4/22/2022,13
4/23/2022,29
4/24/2022,83
4/25/2022,13
4/26/2022,18
4/27/2022,94
4/28/2022,13
4/29/2022,56
4/30/2022,10
5/1/2022,104
5/2/2022,33
5/3/2022,33
5/4/2022,97
5/5/2022,41
5/6/2022,15
5/7/2022,81
5/8/2022,36
5/9/2022,55
5/10/2022,14
5/11/2022,99
5/12/2022,13
5/13/2022,17
5/14/2022,34
5/15/2022,27
5/16/2022,13
5/17/2022,15
5/18/2022,12
5/19/2022,31
5/20/2022,17
5/21/2022,46
5/22/2022,91
5/23/2022,53
5/24/2022,19
5/25/2022,13
5/26/2022,13
5/27/2022,39
5/28/2022,52
5/29/2022,21
5/30/2022,36
5/31/2022,24
6/1/2022,234
6/2/2022,44
6/3/2022,17
6/4/2022,18
6/5/2022,18
6/6/2022,19
6/7/2022,44
6/8/2022,82
6/9/2022,39
6/10/2022,37
6/11/2022,62
6/12/2022,36
6/13/2022,24
6/14/2022,14
6/15/2022,118
6/16/2022,16
6/17/2022,100
6/18/2022,58
6/19/2022,60
6/20/2022,12
6/21/2022,18
6/22/2022,89
6/23/2022,13
6/24/2022,100
6/25/2022,39
6/26/2022,61
6/27/2022,40
6/28/2022,19
6/29/2022,90
6/30/2022,27
7/1/2022,93
7/2/2022,72
7/3/2022,58
7/4/2022,36
7/5/2022,23
7/6/2022,45
7/7/2022,39
7/8/2022,18
7/9/2022,48
7/10/2022,30
7/11/2022,37
7/12/2022,34
7/13/2022,110
7/14/2022,40
7/15/2022,33
7/16/2022,65
7/17/2022,41
7/18/2022,46
7/19/2022,49
7/20/2022,92
7/21/2022,37
7/22/2022,128
7/23/2022,32
7/24/2022,60
7/25/2022,56
7/26/2022,37
7/27/2022,85
7/28/2022,65
7/29/2022,32
7/30/2022,41
7/31/2022,34
8/1/2022,46
8/2/2022,34
8/3/2022,77
8/4/2022,49
8/5/2022,45
8/6/2022,58
8/7/2022,44
8/8/2022,53
8/9/2022,46
8/10/2022,72
8/11/2022,183
8/12/2022,139
8/13/2022,139
8/14/2022,49
8/15/2022,60
8/16/2022,76
8/17/2022,135
8/18/2022,81
8/19/2022,74
8/20/2022,39
8/21/2022,87
8/22/2022,44
8/23/2022,67
8/24/2022,105
8/25/2022,72
8/26/2022,64
8/27/2022,53
8/28/2022,41
8/29/2022,56
